City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,happy valley-goose bay,53.3168,-60.3315,283.32,87,100,7.2,CA,1686871398
116,lashio,22.9333,97.75,292.42,99,96,0.58,MM,1686871358
117,aldinga beach,-35.2793,138.4604,286.63,70,0,10.43,AU,1686871430
118,invercargill,-46.4,168.35,279.6,72,100,1.69,NZ,1686871317
119,nuku'alofa,-21.1333,-175.2,298.34,65,75,4.12,TO,1686871332
120,san antonio de pale,-1.4014,5.6325,298.4,79,96,5.61,GQ,1686871306
121,avarua,-21.2078,-159.775,296.18,88,20,1.54,CK,1686871309
122,miramichi,47.0043,-65.4654,287.39,98,100,2.82,CA,1686871593
123,rosso,16.4986,-15.8153,297.39,75,99,5.39,SN,1686871361
124,thulamahashi,-24.7246,31.1994,291.43,23,0,2.02,ZA,1686871594
125,fukuecho,32.6881,128.8419,296.35,78,75,0.51,JP,1686871594
126,pavlovsk,50.4578,40.1081,288.79,85,100,5.21,RU,1686871594
127,vera cruz,-12.6333,-41.0333,293.91,63,98,1.81,BR,1686871594
128,balikpapan,-1.2675,116.8289,297.7,94,20,3.09,ID,1686871594
129,guerrero negro,27.9769,-114.0611,294.5,58,66,7.48,MX,1686871338
130,kill devil hills,36.0307,-75.676,297.16,76,0,3.6,US,1686871318
131,lerwick,60.1545,-1.1494,288.15,73,52,1.8,GB,1686871406
132,canchungo,12.0672,-16.0333,299.22,90,99,2.19,GW,1686871594
133,urengoy,65.9667,78.3667,277.99,86,100,4.8,RU,1686871594
134,antofagasta,-23.65,-70.4,288.75,72,5,1.8,CL,1686871563
135,glace bay,46.1969,-59.957,287.47,95,100,3.6,CA,1686871353
136,fayetteville,35.0527,-78.8784,303.64,55,0,6.17,US,1686871595
137,muntok,-2.0667,105.1833,298.25,90,99,2.18,ID,1686871595
138,tsiombe,-25.3,45.4833,289.92,79,0,3.13,MG,1686871343
139,papatowai,-46.5619,169.4708,281.07,65,100,2.99,NZ,1686871320
140,bredasdorp,-34.5322,20.0403,283.21,91,8,1.9,ZA,1686871303
141,mezhdurechenskiy,59.6,65.9333,280.55,67,38,2.54,RU,1686871595
142,sao raimundo nonato,-9.0153,-42.6994,299.0,50,3,2.12,BR,1686871427
143,broken hill,-31.95,141.4333,283.32,59,0,5.19,AU,1686871349
144,cidreira,-30.1811,-50.2056,290.69,95,100,11.39,BR,1686871391
145,jonuta,18.0833,-92.1333,315.48,21,4,4.96,MX,1686871595
146,talnakh,69.4865,88.3972,278.82,81,100,3.1,RU,1686871341
147,leh,34.1667,77.5833,282.69,63,96,2.39,IN,1686871596
148,pariaman,-0.619,100.12,297.59,89,97,1.73,ID,1686871596
149,uturoa,-16.7333,-151.4333,300.43,81,66,10.03,PF,1686871340
150,petropavlovsk-kamchatsky,53.0452,158.6483,292.48,45,0,3.0,RU,1686871309
151,korla,41.7597,86.1469,297.42,29,100,6.25,CN,1686871596
152,puerto deseado,-47.7503,-65.8938,277.46,52,0,3.28,AR,1686871319
153,sheridan,44.8333,-106.9173,288.16,73,100,5.14,US,1686871596
154,rongelap,11.1635,166.8941,301.01,75,74,8.3,MH,1686871330
